variant,use_transe,use_risk_bias,seed,val_pr_auc,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall
Full (TransE + RiskBias),True,True,0,0.9426594533619838,0.6526736377769654,0.8967781517885031,0.6288888888888889,0.7894002789400278,0.5226223453370268
Full (TransE + RiskBias),True,True,1,0.9679311075089281,0.6711388945186364,0.9100409024194988,0.642,0.7001090512540894,0.592797783933518
Full (TransE + RiskBias),True,True,7,0.9308151813859462,0.6749381219319217,0.9082320512813532,0.6592517694641051,0.7284916201117319,0.6020313942751616
Full (TransE + RiskBias),True,True,42,0.9524462218647901,0.6473468758853,0.9056956971545198,0.6371220020855057,0.7317365269461078,0.564173591874423
Full (TransE + RiskBias),True,True,123,0.9707445903174622,0.6321086620900107,0.9102997980196892,0.604364857302742,0.7670454545454546,0.4986149584487535
Full (TransE + RiskBias),True,True,11,0.9167541715226845,0.5920535517399009,0.8796850832516173,0.5863309352517986,0.8358974358974359,0.4515235457063712
Full (TransE + RiskBias),True,True,21,0.9788132240189942,0.6793024647872156,0.9062640030940429,0.637904468412943,0.71875,0.5734072022160664
Full (TransE + RiskBias),True,True,77,0.9517200356551464,0.6765151493511726,0.8982948341449871,0.6612810155799193,0.8815384615384615,0.5290858725761773
Full (TransE + RiskBias),True,True,2024,0.9708456918470687,0.4576374568886722,0.8885426158975995,0.539479689639434,0.5333935018050542,0.5457063711911357
Full (TransE + RiskBias),True,True,31337,0.9592846799349948,0.6659555858344822,0.8913675997495195,0.6358915175995383,0.8476923076923077,0.5087719298245614
-TransE,False,True,0,0.9502715832366144,0.3446460555723278,0.8819762140310102,0.5255347010039284,0.49834437086092714,0.5558633425669437
-TransE,False,True,1,0.9794573879896412,0.6949317717221231,0.9167384006210832,0.6541554959785523,0.7800511508951407,0.5632502308402585
-TransE,False,True,7,0.9814978596156961,0.6336702414989425,0.909182091357388,0.6182531894013739,0.6596858638743456,0.5817174515235457
-TransE,False,True,42,0.975890557763192,0.6794042467806566,0.9175748279065682,0.648854961832061,0.7922769640479361,0.5493998153277931
-TransE,False,True,123,0.9711113232709597,0.605822506247712,0.9018141687975116,0.5834127740705434,0.6029556650246305,0.5650969529085873
-TransE,False,True,11,0.9706089594364243,0.682600734355621,0.9129227834117339,0.649364406779661,0.7614906832298136,0.5660203139427517
-TransE,False,True,21,0.9795320515148981,0.6542063003678972,0.9020168932177095,0.6486772486772486,0.7596034696406444,0.5660203139427517
-TransE,False,True,77,0.9820471798280171,0.6295891748094092,0.9046999820748296,0.6377578001057641,0.7462871287128713,0.556786703601108
-TransE,False,True,2024,0.9668681328856027,0.6520976038056205,0.9000197461207857,0.6319311663479924,0.6551040634291377,0.6103416435826408
-TransE,False,True,31337,0.9713885772686711,0.5767463733789101,0.904369367644396,0.5793844650708354,0.6151452282157677,0.5475530932594644
-RiskBias,True,False,0,0.9660909440181844,0.5900814034374255,0.9000225894653842,0.6065839179708581,0.7298701298701299,0.5189289012003694
-RiskBias,True,False,1,0.9711803331615552,0.6852266061646386,0.9164950829194906,0.6603032004491859,0.8424068767908309,0.5429362880886427
-RiskBias,True,False,7,0.9633248937557475,0.6193984342706987,0.9067147639579334,0.5980176211453745,0.7407912687585266,0.5013850415512465
-RiskBias,True,False,42,0.9644435751286353,0.6333104855783335,0.90031264086277,0.622356495468278,0.6843853820598007,0.5706371191135734
-RiskBias,True,False,123,0.9759556309089987,0.6370890455414961,0.9025152044827565,0.6403835908364411,0.756926952141058,0.5549399815327793
-RiskBias,True,False,11,0.9609119812294364,0.5792640530693083,0.9023931221551053,0.5683414370610481,0.6848958333333334,0.4856879039704525
-RiskBias,True,False,21,0.9675494231713773,0.5957205098424825,0.9058281244167741,0.5909797822706065,0.6737588652482269,0.5263157894736842
-RiskBias,True,False,77,0.9719490305309333,0.6460692820407391,0.9025871652997741,0.636968766001024,0.7149425287356321,0.5743305632502308
-RiskBias,True,False,2024,0.9615504152511828,0.6223725762476056,0.9036465833978078,0.63125,0.7240143369175627,0.5595567867036011
-RiskBias,True,False,31337,0.9718764216759476,0.6523628722820449,0.9051540097601735,0.6392373306573006,0.7,0.5881809787626963
-Both,False,False,0,0.9744653006416802,0.5870040943065763,0.8984863364285257,0.6156111929307806,0.6572327044025157,0.5789473684210527
-Both,False,False,1,0.9740659272087595,0.6557838924745161,0.8950097426900182,0.6530825496342738,0.7521058965102286,0.577100646352724
-Both,False,False,7,0.9745370272337817,0.6615888929714524,0.906110462485728,0.6572178477690289,0.7615571776155717,0.5780240073868883
-Both,False,False,42,0.9714483693407762,0.5977979822245472,0.8990600568221244,0.5885036496350365,0.581605049594229,0.5955678670360111
-Both,False,False,123,0.9757577898711519,0.5841786259362419,0.8922992790790516,0.5787810383747178,0.5662544169611308,0.5918744228993537
-Both,False,False,11,0.9723244036666379,0.5768559461613592,0.8874492894028123,0.5821782178217821,0.6275346851654215,0.5429362880886427
-Both,False,False,21,0.9584813472486244,0.6342658288458013,0.8986311957613112,0.6058091286307054,0.6049723756906077,0.6066481994459834
-Both,False,False,77,0.9785400771738789,0.6187541555990166,0.900960257967581,0.6349367088607595,0.702914798206278,0.5789473684210527
-Both,False,False,2024,0.9748823127594043,0.5297989859369042,0.8949101046356862,0.576961271102284,0.6240601503759399,0.5364727608494921
-Both,False,False,31337,0.9785618258203144,0.6312412492450931,0.9019290217702797,0.568561872909699,0.5194805194805194,0.6278855032317636
