model,seed,val_pr_auc,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall
SimpleHeteroGNN,0,0.9991419420822745,0.6490989532981661,0.8705829019767838,0.6409714889123548,0.7484586929716399,0.5604801477377654
SimpleHeteroGNN,1,0.9985470102550102,0.6440712540113606,0.8587569780667422,0.6427440633245383,0.75,0.5623268698060941
SimpleHeteroGNN,7,0.998943182836814,0.6563724027387848,0.887791398205027,0.6210526315789474,0.6444885799404171,0.5992613111726686
SimpleHeteroGNN,42,0.9990704132363316,0.6550298710484997,0.8818575195181995,0.6192468619246861,0.5661820964039785,0.6832871652816251
SimpleHeteroGNN,123,0.9989693119581635,0.6308391245734892,0.8602673385187469,0.6181818181818182,0.7066508313539193,0.5493998153277931
RiskMAGNN (Base),0,0.9426594533619838,0.6526737633546453,0.8967780610434627,0.6288888888888889,0.7894002789400278,0.5226223453370268
RiskMAGNN (Base),1,0.9679311075089281,0.6711389624576356,0.9100409326678455,0.642,0.7001090512540894,0.592797783933518
RiskMAGNN (Base),7,0.9308151813859462,0.6749381329553283,0.9082320815296999,0.6592517694641051,0.7284916201117319,0.6020313942751616
RiskMAGNN (Base),42,0.9524462218647902,0.6473468758852999,0.9056956971545198,0.6371220020855057,0.7317365269461078,0.564173591874423
RiskMAGNN (Base),123,0.97074468079843,0.6321087210526701,0.9102998585163826,0.604364857302742,0.7670454545454546,0.4986149584487535
RiskMAGNN (Large),0,0.9584003139778232,0.6025519647855553,0.88586857129617,0.5767301905717152,0.6311745334796927,0.530932594644506
RiskMAGNN (Large),1,0.9777301540704686,0.6695479045395103,0.9100801042769409,0.6364653243847874,0.8070921985815603,0.5253924284395198
RiskMAGNN (Large),7,0.9485327112765344,0.6811330289839965,0.9006705393020098,0.665606783253842,0.7810945273631841,0.579870729455217
RiskMAGNN (Large),42,0.9751584434174584,0.6525646089876327,0.9044354300337892,0.6520577231427044,0.7741116751269036,0.5632502308402585
RiskMAGNN (Large),123,0.9543575628799243,0.6363953785485358,0.8764365015512259,0.6405375139977604,0.813655761024182,0.5281625115420129
