test_pr_auc,test_roc_auc,test_f1,variant,seed,val_pr_auc
0.16213670982848183,0.8243520784291279,0.20020429009193055,LogisticRegression,0,
0.16213670982848183,0.8243520784291279,0.20020429009193055,LogisticRegression,1,
0.16213670982848183,0.8243520784291279,0.20020429009193055,LogisticRegression,7,
0.16213670982848183,0.8243520784291279,0.20020429009193055,LogisticRegression,42,
0.16213670982848183,0.8243520784291279,0.20020429009193055,LogisticRegression,123,
0.5430590139534959,0.8198345449255038,0.22120481927710844,StaticGraphSAGE,0,0.8423045166328612
0.5492508077640293,0.8172382972836961,0.21357012750455373,StaticGraphSAGE,1,0.8404402306990096
0.5238976447305778,0.8217324277397366,0.17894561782803925,StaticGraphSAGE,7,0.8435151486127457
0.5324021511315377,0.8116483228511531,0.24109263657957244,StaticGraphSAGE,42,0.8558126119906202
0.5400276047268163,0.816966553616531,0.24865831842576028,StaticGraphSAGE,123,0.8458022575093621
0.505440854191814,0.8151129428095104,0.2161060142711519,TemporalGNN,0,0.8536944729825816
0.4997900641347608,0.8005620607083997,0.18998272884283246,TemporalGNN,1,0.8068717975756665
0.5349178845992735,0.827278055633069,0.21174831669375435,TemporalGNN,7,0.8235428371253855
0.5270954839049581,0.8199192132759973,0.26352472618652506,TemporalGNN,42,0.8336494402642869
0.5398453384850339,0.8167584602762334,0.22255866767600302,TemporalGNN,123,0.8435116324941008
0.4304867680174532,0.8198060737020103,0.16671541386370284,TemporalGNN (no skip),0,0.7550111198325398
0.4768955320853112,0.8132755054462022,0.14557587740978745,TemporalGNN (no skip),1,0.7746389652817034
0.46528669404193135,0.8239631704600473,0.18748866727107888,TemporalGNN (no skip),7,0.8035578900911291
0.3580951581210138,0.8201253687843294,0.18220687386942938,TemporalGNN (no skip),42,0.7767191544601516
0.43859114218134154,0.8035804575906965,0.1587347649448636,TemporalGNN (no skip),123,0.8105003763023414
0.3601075373844761,0.774687606580758,0.1909526787575568,No temporal (no skip),0,0.7012238011247267
0.4578759290154301,0.7977130005270903,0.14588893124920574,No temporal (no skip),1,0.7807290500855479
0.3179386521353683,0.790303625474918,0.14367188448003884,No temporal (no skip),7,0.7429054767518106
0.46907252974443847,0.8144598934371295,0.16792313377679233,No temporal (no skip),42,0.8196568959574975
0.3408930168189245,0.7849040802989865,0.1590612777053455,No temporal (no skip),123,0.7354657703316159
