model,seed,val_pr_auc,test_pr_auc,test_roc_auc,test_f1_argmax,test_f1_tuned,test_precision_tuned,test_recall_tuned,tuned_threshold
SimpleHeteroGNN,0,0.998918842678377,0.641499430697964,0.8698674378301191,0.6326963906581741,0.6122931442080378,0.8505747126436781,0.47830101569713757,0.6862612962722778
SimpleHeteroGNN,1,0.9985599675025107,0.6459615010960212,0.8526155957209237,0.6369973190348526,0.6359649122807017,0.7827260458839406,0.5355493998153278,0.5454981923103333
SimpleHeteroGNN,7,0.998866098314828,0.6629763046998476,0.8913691726635526,0.6298607777244359,0.6118980169971672,0.7917888563049853,0.4986149584487535,0.725284218788147
SimpleHeteroGNN,42,0.9990429609236171,0.6450358108449668,0.8861273156546265,0.6291161178509532,0.6030444964871194,0.824,0.4755309325946445,0.7917720675468445
SimpleHeteroGNN,123,0.999073550682375,0.6384063358136338,0.8692543643373444,0.6137184115523465,0.5766202301635373,0.8380281690140845,0.43951985226223456,0.6813421845436096
SimpleHeteroGNN,11,0.9991064288733263,0.652531653078356,0.8676873487317988,0.6584158415841584,0.6630552546045504,0.8020969855832241,0.5650969529085873,0.6374953985214233
SimpleHeteroGNN,21,0.9989776520745492,0.6310431343070081,0.873191186672288,0.632808532249873,0.5700934579439252,0.7758346581875993,0.45060018467220686,0.69530189037323
SimpleHeteroGNN,77,0.9994725222387081,0.6731888133125271,0.8794695940290732,0.6656760772659732,0.5478424015009381,0.8488372093023255,0.40443213296398894,0.8220444917678833
SimpleHeteroGNN,2024,0.9982249125948215,0.6465765871304452,0.8834588065006601,0.6131307650569723,0.5688514732411305,0.8155172413793104,0.43674976915974145,0.6214010119438171
SimpleHeteroGNN,31337,0.9991702657687627,0.6423587444321364,0.8893915357503094,0.6111951588502269,0.5359150530918176,0.8281853281853282,0.3961218836565097,0.7441640496253967
RiskMAGNN (Base),0,0.9426594533619838,0.6526732133012898,0.8967780307951159,0.6288888888888889,0.6002844950213371,0.6169590643274854,0.5844875346260388,0.37992745637893677
RiskMAGNN (Base),1,0.9679311075089282,0.6711391902546611,0.9100409024194988,0.642,0.6516500785751702,0.7530266343825666,0.5743305632502308,0.539053201675415
RiskMAGNN (Base),7,0.9308151813859462,0.6749381219319218,0.9082320210330064,0.6592517694641051,0.6561135371179039,0.8024032042723631,0.5549399815327793,0.555332601070404
RiskMAGNN (Base),42,0.9524462218647902,0.6473470678321392,0.9056957878995603,0.6371220020855057,0.6396938217605249,0.7841823056300268,0.5401662049861495,0.5426754951477051
RiskMAGNN (Base),123,0.97074468079843,0.6321086620900106,0.910299828268036,0.604364857302742,0.5918854415274463,0.836424957841484,0.4579870729455217,0.5708194375038147
RiskMAGNN (Base),11,0.9167541715226845,0.5920535517399009,0.8796850832516175,0.5863309352517986,0.5844994617868676,0.7006451612903226,0.5013850415512465,0.42921456694602966
RiskMAGNN (Base),21,0.9788132240189942,0.6793027836564669,0.9062640635907365,0.637904468412943,0.6395721925133689,0.7598475222363406,0.5521698984302862,0.5484780669212341
RiskMAGNN (Base),77,0.9517200356551464,0.6765151493511726,0.8982948341449872,0.6612810155799193,0.6580783682232958,0.7858974358974359,0.5660203139427517,0.392435222864151
RiskMAGNN (Base),2024,0.9708456918470685,0.4576374457535351,0.8885425856492526,0.539479689639434,0.5362453531598513,0.539756782039289,0.5327793167128347,0.5180925130844116
RiskMAGNN (Base),31337,0.9592846799349949,0.6659555505331312,0.8913675695011727,0.6358915175995383,0.6410835214446953,0.8243831640058055,0.5244690674053555,0.47649329900741577
RiskMAGNN (Large),0,0.9584003139778232,0.6025519538412365,0.88586857129617,0.5767301905717152,0.5812124016658954,0.5825602968460112,0.579870729455217,0.42877450585365295
RiskMAGNN (Large),1,0.9777301540704686,0.6695479450052139,0.9100799832835537,0.6364653243847874,0.6388583973655324,0.7875507442489851,0.5373961218836565,0.47843271493911743
RiskMAGNN (Large),7,0.9485327112765344,0.6811330289839964,0.9006705393020097,0.665606783253842,0.6612200435729847,0.8061088977423638,0.5604801477377654,0.5405474901199341
RiskMAGNN (Large),42,0.9751612901458304,0.6525646089876327,0.9044354300337893,0.6520577231427044,0.6501922020867655,0.8021680216802168,0.5466297322253001,0.5175477862358093
RiskMAGNN (Large),123,0.9543575628799243,0.6363953618047026,0.8764364410545324,0.6405375139977604,0.5778175313059034,0.5602775368603643,0.5964912280701754,0.37441468238830566
RiskMAGNN (Large),11,0.9376036593633422,0.6840621575694409,0.913333344222738,0.6477565755544095,0.6485260770975056,0.8399412628487518,0.5281625115420129,0.6185900568962097
RiskMAGNN (Large),21,0.9638582962431987,0.6787571938113488,0.9023404900316876,0.640461215932914,0.6052631578947368,0.5950044603033007,0.615881809787627,0.38742223381996155
RiskMAGNN (Large),77,0.9816649601917369,0.7277105742226906,0.9159016103554368,0.6834763948497854,0.6835443037974683,0.7970479704797048,0.5983379501385041,0.4854411780834198
RiskMAGNN (Large),2024,0.97848300755644,0.7249707160490376,0.9174536227809738,0.6895491803278688,0.6881606765327696,0.8046971569839307,0.6011080332409973,0.5378146171569824
RiskMAGNN (Large),31337,0.9763023286325064,0.6252681686700655,0.8888175128732426,0.6200098570724495,0.6113989637305699,0.6240384615384615,0.5992613111726686,0.4651194214820862
