timestep,illicit,licit,total,illicit_rate,split
1,17,2130,2147,0.007918025151374011,train
2,18,1099,1117,0.01611459265890779,train
3,11,1268,1279,0.008600469116497263,train
4,30,1410,1440,0.020833333333333332,train
5,8,1874,1882,0.004250797024442083,train
6,5,480,485,0.010309278350515464,train
7,102,1101,1203,0.08478802992518704,train
8,67,1098,1165,0.05751072961373391,train
9,248,530,778,0.31876606683804626,train
10,18,954,972,0.018518518518518517,train
11,131,565,696,0.1882183908045977,train
12,16,490,506,0.03162055335968379,train
13,291,518,809,0.35970333745364647,train
14,43,374,417,0.10311750599520383,train
15,147,471,618,0.23786407766990292,train
16,128,402,530,0.24150943396226415,train
17,99,712,811,0.1220715166461159,train
18,52,337,389,0.13367609254498714,train
19,80,665,745,0.10738255033557047,train
20,260,640,900,0.28888888888888886,train
21,100,541,641,0.15600624024961,train
22,158,1605,1763,0.08961996596710153,train
23,53,1134,1187,0.04465037910699242,train
24,137,989,1126,0.1216696269982238,train
25,118,476,594,0.19865319865319866,train
26,96,421,517,0.18568665377176016,train
27,24,182,206,0.11650485436893204,train
28,85,199,284,0.2992957746478873,train
29,329,845,1174,0.28023850085178875,train
30,83,441,524,0.15839694656488548,val
31,106,604,710,0.14929577464788732,val
32,342,981,1323,0.2585034013605442,val
33,23,418,441,0.05215419501133787,val
34,37,478,515,0.07184466019417475,val
35,182,1159,1341,0.13571961222967935,val
36,33,1675,1708,0.019320843091334895,val
37,40,458,498,0.08032128514056225,val
38,111,645,756,0.14682539682539683,val
39,81,1102,1183,0.06846999154691462,val
40,112,1099,1211,0.09248554913294797,test
41,116,1016,1132,0.10247349823321555,test
42,239,1915,2154,0.11095636025998143,test
43,24,1346,1370,0.017518248175182483,test
44,24,1567,1591,0.01508485229415462,test
45,5,1216,1221,0.004095004095004095,test
46,2,710,712,0.0028089887640449437,test
47,22,824,846,0.026004728132387706,test
48,36,435,471,0.07643312101910828,test
49,56,420,476,0.11764705882352941,test
